ref_num	SAMPLE	VENT	COORDINATES	SITE	Sample_or_Control	SAMPLEID	DEPTH	SAMPLETYPE	Julies Notes	YEAR	TEMP (C)	pH	PercSeawater	Mg mmol/kg or mM	H2 µM or µmol/L	H2S (mmol/L) or mM	CH4 (µmol/kg)	ProkConc	Sample_actual	Type
68	84_GR_substrate_MC1_Quartz2_7_0_Jun2021	Quartz2		substrate	Sample			Microcolonizer		2019					0					MC1
69	85_GR_substrate_MC1_Riftia_7_0_Jun2021	Riftia		substrate	Sample			Microcolonizer		2019					0					MC1
70	86_GR_substrate_MC1_Shell_7_5_Jun2021	Shell		substrate	Sample			Microcolonizer		2019					0					MC1
71	87_GR_substrate_MC4_Quartz2_7_0_Jun2021	Quartz2		substrate	Sample			Microcolonizer		2019					0					MC4
72	88_GR_substrate_MC4_Riftia_7_0_Jun2021	Riftia		substrate	Sample			Microcolonizer		2019					0					MC4
73	89_GR_substrate_MC4_Shell_7_5_Jun2021	Shell		substrate	Sample			Microcolonizer		2019					0					MC4
74	90_GR_substrate_MC5_Quartz2_8_0_Jun2021	Quartz2		substrate	Sample			Microcolonizer		2019					0					MC5
75	91_GR_substrate_MC5_Riftia_8_0_Jun2021	Riftia		substrate	Sample			Microcolonizer		2019					0					MC5
76	92_GR_substrate_MC5_Shell_8_5_Jun2021	Shell		substrate	Sample			Microcolonizer		2019					0					MC5
77	93_GR_substrate_MC6_Quartz2_8_0_Jun2021	Quartz2		substrate	Sample			Microcolonizer		2019					0					MC6
78	94_GR_substrate_MC6_Riftia_8_0_Jun2021	Riftia		substrate	Sample			Microcolonizer		2019					0					MC6
79	95_GR_substrate_MC6_Shell_8_5_Jun2021	Shell		substrate	Sample			Microcolonizer		2019					0					MC6
80	96_GGCGAC_S19	blank		substrate	Control			Microcolonizer		2019					0				96_CTRL_substrate_blank_blank_na_0_Jun2021	blank
81	97_GR_substrate_MC2_Quartz2_6_0_Jun2021	Quartz2		substrate	Sample			Microcolonizer		2019					0				97_GR_substrate_MC2_Quartz2_6_0_Jun2021	MC2
82	98_GR_substrate_MC2_Riftia_6_0_Jun2021	Riftia		substrate	Sample			Microcolonizer		2019					0					MC2
83	99_GR_substrate_MC2_Shell_6_5_Jun2021	Shell		substrate	Sample			Microcolonizer		2019					0					MC2
84	63_MCR_VonDamm_CTD_BSW_CTD002_0_Jun2021	BSW	18.374183, -81.781533	VonDamm	Sample		2400	Background		2020	4.181	-	-	-	-	-		34705.9161		CTD
85	54_MCR_VonDamm_expTf_MustardStand_0_0_Jun2021	MustardStand	VonDamm	Sample			Incubation		2020										expTf	
86	55_MCR_VonDamm_expTf_ShrimpHole_0_0_Jun2021	ShrimpHole		VonDamm	Sample			Incubation		2020										expTf
87	58_MCR_VonDamm_expTf_Plume_0_0_Jun2021	Plume		VonDamm	Sample			Incubation		2020										expTf
88	59_MCR_VonDamm_expTf_X18_0_0_Jun2021	X18		VonDamm	Sample			Incubation		2020										expTf
89	60_MCR_VonDamm_expTf_BSW_0_0_Jun2021	BSW		VonDamm	Sample			Incubation		2020										expTf
90	61_MCR_VonDamm_expTf_Rav2_0_0_Jun2021	Rav2		VonDamm	Sample			Incubation		2020										expTf
91	65_MCR_VonDamm_CTD_Plume_CTD003_0_Jun2021	Plume	18.377600, -81.799317	VonDamm	Sample		1979	Plume		2020	4.208	-	-	-	-	-		16478.313		CTD
92	66_MCR_VonDamm_HOG_ArrowLoop_J21243HOG18_5_Jun2021	ArrowLoop	18.376659, -81.797986	VonDamm	Sample		2309	Vent		2020	137	5.845	43.95	23.085	9550	1.655	1585	10369.792		HOG
93	67_MCR_VonDamm_HOG_WhiteCastle_J21235HOG12_5_Jun2021	WhiteCastle	18.377005, -81.798088	VonDamm	Sample		2307	Vent		2020	108	5.635	27.04	14.205	7100	1.675	2200			HOG
94	69_MCR_VonDamm_HOG_MustardStand_J21243HOG14_5_Jun2021	MustardStand	18.375130, -81.797488	VonDamm	Sample		2374	Vent		2020	108	5.85667	41.915	22.02	8750	1.675	1624	56677		HOG
95	70_MCR_VonDamm_HOG_Rav2_J21238HOG14_5_Jun2021	Rav2	18.375112, -81.797180	VonDamm	Sample		2389.6	Vent		2020	94	5.77	29.63	15.565	5000	1.545	1850			HOG
96	71_MCR_VonDamm_HOG_OldManTree_J21238HOG20_5_Jun2021	OldManTree	18.375069, -81.797678	VonDamm	Sample		2375.8	Vent		2020	121.6	5.82	28.605	15.025	5650	1.685	1940			HOG
97	72_MCR_VonDamm_HOG_ShrimpHole_J21244HOG18_0_Jun2021	ShrimpHole	18.374893, -81.797441	VonDamm	Sample		2376	Vent		2020	21	7.72	96.36	50.62	5400	-	213			HOG
98	76_MCR_VonDamm_HOG_X18_J21235HOG20_0_Jun2021	X18	18.374810, -81.797411	VonDamm	Sample		2377	Vent		2020	48	6.97666667	58.885	30.93	1740	2.11	1280	111429.781		HOG
99	79_MCR_VonDamm_HOG_Bartizan_J21244HOG12_5_Jun2021	Bartizan	18.798096, -81.377907	VonDamm	Sample		2307	Vent		2020	129	5.72	35.235	18.51	4600	1.655	1580	16163.441		HOG
100	80_MCR_VonDamm_HOG_Rav2_J21244HOG20_0_Jun2021	Rav2	18.375254, -81.797176	VonDamm	Sample		2388.9	Vent		2020	98.2	5.7825	29.63	15.565	5000	1.545	1850			HOG
